model,temperature_dir,variant,uncertainty_per_100_words,uncertainty_row_share,uncertainty_hits,rationale_tokens,brier_score,ece,n_scored
Qwen2.5-7b-instruct,temperature_000,V0,1.6241112911216142,0.5835443037974684,1213,74687,0.18738286392404946,0.09783860759494593,1580
Qwen2.5-7b-instruct,temperature_000,V7,2.4779972094021683,0.85,1847,74536,0.19868658227847918,0.10715189873418651,1580
Qwen2.5-7b-instruct,temperature_000,V7_minus_V0,0.853885918280554,0.2664556962025316,634,-151,0.011303718354429726,0.009313291139240579,1580
Qwen3-32B,temperature_0,V0,1.2660877997179125,0.48481012658227846,1149,90752,0.19972935506329126,0.10436772151898446,1580
Qwen3-32B,temperature_0,V7,3.383794293877227,0.9765822784810126,3411,100804,0.22325177215189962,0.11639240506329078,1580
Qwen3-32B,temperature_0,V7_minus_V0,2.1177064941593144,0.4917721518987342,2262,10052,0.02352241708860836,0.012024683544306317,1580
GPT-OSS-120B,temperature_025,V0,1.6548516729128098,0.6177215189873417,1466,88588,0.1583581645569611,0.10599367088607803,1580
GPT-OSS-120B,temperature_025,V7,3.778105211063246,0.9974683544303797,3359,88907,0.1698751898734169,0.14032911392405228,1580
GPT-OSS-120B,temperature_025,V7_minus_V0,2.1232535381504363,0.379746835443038,1893,319,0.011517025316455792,0.034335443037974256,1580
