model,condition,temperature_dir,coverage_rate,n_scored,malformed_rows,accuracy,brier_score,ece
Qwen2.5-7b-instruct,with-FRS,temperature_000,1.0,1580.0,0.0,0.7544303797468355,0.18738286392404946,0.09783860759494593
Qwen2.5-7b-instruct,without-FRS,without_frs/temperature_0,1.0,1580.0,0.0,0.720253164556962,0.21805316455695975,0.1491645569620344
Qwen3-32B,with-FRS,temperature_0,1.0,1580.0,0.0,0.7227848101265822,0.19972935506329126,0.10436772151898446
Qwen3-32B,without-FRS,without_frs/temperature_0,1.0,1580.0,0.0,0.7075949367088608,0.21368329113924053,0.13417721518987127
GPT-OSS-120B,with-FRS,temperature_00,1.0,1580.0,0.0,0.8246835443037974,0.15941854430379657,0.12050000000000212
GPT-OSS-120B,without-FRS,without_frs/temperature_0,0.9981012658227848,1577.0,0.0,0.8268864933417882,0.1474597336715275,0.08188966391883283
