model,temperature_dir,temperature,variant,n_scored,n_missing,accuracy,brier_score,ece
Qwen2.5-7b-instruct,temperature_200,0.2,variant1_predicted_event,1580,0,0.7082278481012658,0.2104555302390992,0.11465780590717513
Qwen2.5-7b-instruct,temperature_200,0.2,variant2_key_attribute,1579,1,0.7048765041165295,0.21678446815990446,0.1318832896046342
Qwen2.5-7b-instruct,temperature_200,0.2,variant3_reasoning_type,1580,0,0.7107594936708861,0.20641619746835427,0.10451012658228012
Qwen2.5-7b-instruct,temperature_200,0.2,variant4_credibility,1580,0,0.7088607594936709,0.2130526936708853,0.11324050632911609
Qwen2.5-7b-instruct,temperature_200,0.2,variant5_key_conditions,1580,0,0.6949367088607595,0.2183212094936703,0.14241075949367268
Qwen2.5-7b-instruct,temperature_200,0.2,variant6_step_by_step_reasoning,1578,2,0.7287705956907478,0.2051927469887351,0.10997890684410813
Qwen2.5-7b-instruct,temperature_200,0.2,variant7_uncertainty_language,1578,2,0.7078580481622306,0.20945462864385284,0.11255640050697291
Qwen2.5-7b-instruct,temperature_200,0.2,variant8_temporal_anchors,1574,6,0.735705209656925,0.1979258697585762,0.10073888182973485
Qwen3-32B,temperature_0,0.0,variant0_neutral_baseline,1580,0,0.7227848101265822,0.19972935506329126,0.10436772151898446
Qwen3-32B,temperature_0,0.0,variant1_predicted_event,1580,0,0.7012658227848101,0.2148998613924052,0.11225379746835211
Qwen3-32B,temperature_0,0.0,variant2_key_attribute,1580,0,0.7107594936708861,0.21430574746835462,0.12827278481012436
Qwen3-32B,temperature_0,0.0,variant3_reasoning_type,1580,0,0.6987341772151898,0.21459367088607628,0.09910126582278317
Qwen3-32B,temperature_0,0.0,variant4_credibility,1580,0,0.7398734177215189,0.20306990822784832,0.07805632911392316
Qwen3-32B,temperature_0,0.0,variant5_key_conditions,1580,0,0.7,0.21731424050632922,0.10458860759493488
Qwen3-32B,temperature_0,0.0,variant6_step_by_step_reasoning,1580,0,0.7050632911392405,0.22394354430379754,0.1479620253164528
Qwen3-32B,temperature_0,0.0,variant7_uncertainty_language,1580,0,0.7069620253164557,0.22325177215189962,0.11639240506329078
Qwen3-32B,temperature_0,0.0,variant8_temporal_anchors,1580,0,0.7265822784810126,0.2107531525316458,0.11959556962025054
Qwen3-32B,temperature_025,0.025,variant0_neutral_baseline,1580,0,0.7132911392405064,0.20376884873417705,0.1068487341772123
Qwen3-32B,temperature_025,0.025,variant1_predicted_event,1580,0,0.7025316455696202,0.21481085443037973,0.10680253164556706
Qwen3-32B,temperature_025,0.025,variant2_key_attribute,1580,0,0.7113924050632912,0.2138713803797466,0.12367151898733958
Qwen3-32B,temperature_025,0.025,variant3_reasoning_type,1580,0,0.6981012658227848,0.21308120253164575,0.09947468354430233
Qwen3-32B,temperature_025,0.025,variant4_credibility,1580,0,0.7360759493670886,0.2058032594936711,0.08720886075949269
Qwen3-32B,temperature_025,0.025,variant5_key_conditions,1580,0,0.6987341772151898,0.21667518987341775,0.10425316455696014
Qwen3-32B,temperature_025,0.025,variant6_step_by_step_reasoning,1580,0,0.7075949367088608,0.2233294183544303,0.1429689873417694
Qwen3-32B,temperature_025,0.025,variant7_uncertainty_language,1580,0,0.7044303797468354,0.22566139240506428,0.11439240506329004
Qwen3-32B,temperature_025,0.025,variant8_temporal_anchors,1580,0,0.7259493670886076,0.21000884873417744,0.11217784810126318
Qwen3-32B,temperature_075,0.075,variant0_neutral_baseline,1580,0,0.7221518987341772,0.20622399113924067,0.10103544303797235
Qwen3-32B,temperature_075,0.075,variant1_predicted_event,1580,0,0.6943037974683545,0.2227310639240512,0.1253613924050632
Qwen3-32B,temperature_075,0.075,variant2_key_attribute,1580,0,0.7082278481012658,0.22280707658227888,0.13773481012658026
Qwen3-32B,temperature_075,0.075,variant3_reasoning_type,1580,0,0.6955696202531646,0.21821664556962025,0.1082341772151894
Qwen3-32B,temperature_075,0.075,variant4_credibility,1580,0,0.7348101265822785,0.20575650696202546,0.07454493670885942
Qwen3-32B,temperature_075,0.075,variant5_key_conditions,1580,0,0.7012658227848101,0.22285588607594958,0.1158670886075944
Qwen3-32B,temperature_075,0.075,variant6_step_by_step_reasoning,1580,0,0.7018987341772152,0.22377550632911405,0.12919620253164477
Qwen3-32B,temperature_075,0.075,variant7_uncertainty_language,1580,0,0.6924050632911393,0.2325599367088611,0.13328481012658222
Qwen3-32B,temperature_075,0.075,variant8_temporal_anchors,1580,0,0.7259493670886076,0.21373049430379765,0.11584873417721268
Qwen3-32B,temperature_125,0.125,variant0_neutral_baseline,1580,0,0.7037974683544304,0.20934256708860813,0.10221265822784772
Qwen3-32B,temperature_125,0.125,variant1_predicted_event,1580,0,0.6993670886075949,0.22168824367088608,0.12398417721518959
Qwen3-32B,temperature_125,0.125,variant2_key_attribute,1580,0,0.6911392405063291,0.22408379746835477,0.12267088607594892
Qwen3-32B,temperature_125,0.125,variant3_reasoning_type,1580,0,0.6943037974683545,0.22380748354430435,0.12186582278480952
Qwen3-32B,temperature_125,0.125,variant4_credibility,1580,0,0.729746835443038,0.21260151898734259,0.08410126582278518
Qwen3-32B,temperature_125,0.125,variant5_key_conditions,1580,0,0.6841772151898734,0.22827000000000022,0.12775949367088593
Qwen3-32B,temperature_125,0.125,variant6_step_by_step_reasoning,1580,0,0.7063291139240506,0.22811615126582332,0.13884367088607566
Qwen3-32B,temperature_125,0.125,variant7_uncertainty_language,1580,0,0.6879746835443038,0.23595063291139354,0.13356962025316463
Qwen3-32B,temperature_125,0.125,variant8_temporal_anchors,1580,0,0.7025316455696202,0.2250801265822792,0.1289746835443035
Qwen3-32B,temperature_175,0.175,variant0_neutral_baseline,1580,0,0.710126582278481,0.2121930476265827,0.10326424050632865
Qwen3-32B,temperature_175,0.175,variant1_predicted_event,1578,2,0.6818757921419518,0.23465215716096374,0.1425969581749046
Qwen3-32B,temperature_175,0.175,variant2_key_attribute,1580,0,0.6917721518987342,0.23093722784810136,0.13720379746835418
Qwen3-32B,temperature_175,0.175,variant3_reasoning_type,1580,0,0.6867088607594937,0.22851823167088609,0.13447835443037923
Qwen3-32B,temperature_175,0.175,variant4_credibility,1580,0,0.7177215189873418,0.21856860063291197,0.09465379746835446
Qwen3-32B,temperature_175,0.175,variant5_key_conditions,1580,0,0.6892405063291139,0.22768802468354468,0.12462215189873413
Qwen3-32B,temperature_175,0.175,variant6_step_by_step_reasoning,1580,0,0.6765822784810127,0.23912997405063302,0.15592594936708826
Qwen3-32B,temperature_175,0.175,variant7_uncertainty_language,1571,9,0.6950986632718014,0.2355221833227253,0.1367663908338637
Qwen3-32B,temperature_175,0.175,variant8_temporal_anchors,1580,0,0.6848101265822785,0.23183290126582334,0.14034936708860696
Qwen3-32B,temperature_2,2.0,variant0_neutral_baseline,1577,3,0.7152821813570069,0.21795090424857375,0.11690551680405795
Qwen3-32B,temperature_2,2.0,variant1_predicted_event,1577,3,0.6924540266328472,0.23345715097038636,0.14424680003002568
Qwen3-32B,temperature_2,2.0,variant2_key_attribute,1580,0,0.6765822784810127,0.23626951806898017,0.1423857521269971
Qwen3-32B,temperature_2,2.0,variant3_reasoning_type,1580,0,0.6829113924050633,0.22712358670886135,0.1342829113924047
Qwen3-32B,temperature_2,2.0,variant4_credibility,1575,5,0.7225396825396826,0.21941956269841342,0.09713555555555459
Qwen3-32B,temperature_2,2.0,variant5_key_conditions,1580,0,0.6715189873417722,0.2401670512658235,0.15270696202531622
Qwen3-32B,temperature_2,2.0,variant6_step_by_step_reasoning,1578,2,0.6768060836501901,0.2443387013814964,0.1654629911280095
Qwen3-32B,temperature_2,2.0,variant7_uncertainty_language,1558,22,0.6925545571245186,0.2390082599486532,0.14219062901155324
Qwen3-32B,temperature_2,2.0,variant8_temporal_anchors,1576,3,0.7074873096446701,0.23002999610558444,0.13871847715736027
