,0
2014-01-01,1.0022673548050842
2014-03-05,1.0412126795654986
2014-05-07,1.2017207516417328
2014-07-09,1.3874330937565946
2014-09-10,1.4913097456769608
2014-11-12,1.6002908620945246
2015-01-01,1.840671655744082
2015-03-05,1.7422515730832293
2015-05-07,1.8826276158913282
2015-07-09,1.8289836626362248
2015-09-10,1.8280140921166559
2015-11-12,1.8296902688567658
2016-01-01,1.745990128881887
2016-03-04,1.8420649226966166
2016-05-06,1.978854908088451
2016-07-08,2.2351414669632548
2016-09-09,2.0253156532316683
2016-11-11,2.1102648833733504
2017-03-05,2.285675306421221
2017-05-07,2.4042910424873023
2017-07-09,2.4351795860232897
2017-09-10,2.5219535895765928
2017-11-12,2.6323578221610133
2018-01-01,2.547014746290888
2018-03-05,2.801777013701934
2018-05-07,2.869557926764282
2018-07-09,3.084808295897469
2018-09-10,2.7996903723548123
2018-11-12,3.0430089185140687
2019-01-01,3.055403015082588
2019-03-05,3.1018143958821836
2019-05-07,3.1383873331763614
2019-07-09,3.228444012769928
2019-09-10,3.6088075397610155
2019-11-12,3.705547350235075
2020-01-01,3.8419689381433173
2020-03-04,3.3066375829436843
2020-05-06,3.993306530662697
2020-07-08,4.379139517517762
2020-09-09,4.947318350777666
2020-11-11,5.948126433625428
2021-01-01,7.504817808188474
2021-03-05,7.96884297502324
2021-05-07,8.361035075797545
2021-07-09,9.034532206557262
2021-09-10,9.78941965872466
2021-11-12,9.60577505427251
2022-03-05,10.208620452207326
2022-05-07,9.675846348223786
2022-07-09,11.716320717265392
2022-09-10,12.145039622927662
2022-11-12,11.877058997121997
2023-03-05,13.042102880956808
2023-05-07,14.047216773564413
2023-07-09,14.473095535555938
2023-09-10,14.596434154014466
2023-11-12,17.94937546192419
2024-01-01,20.826877721004536
2024-03-04,22.28107409872002
2024-05-06,25.09845525545753
2024-07-08,24.870635706499176
2024-09-09,23.625453704719494
2024-11-11,22.113208654435958
2025-01-01,20.902581912514087
2025-03-05,21.999679713486
2025-05-07,23.452637775403705
2025-07-09,22.829495636336006
2025-09-10,23.321282477942
2025-11-12,22.83997235568238
2026-01-01,22.706574422948595
2026-03-05,23.69834022986447
2026-05-07,23.297914650686074
2026-07-09,23.285652590343606
2026-09-10,23.285652590343606
2026-11-12,23.285652590343606
