dataset,n_rows,n_questions,positive_rate,cv_roc_auc,cv_accuracy,judge_only
combined_mean__judge_only,42652.0,1580.0,0.7545015474069211,0.7020309445442222,0.6324908562318297,True
combined_mean__full,42652.0,1580.0,0.7545015474069211,0.7147568488784686,0.6433930413579668,False
gemma-4-31b-it__judge_only,42659.0,1580.0,0.7545183900232073,0.6436958513991351,0.6702219930143698,True
gemma-4-31b-it__full,42659.0,1580.0,0.7545183900232073,0.6917841149966286,0.6792704939168757,False
kimi-k2.5__judge_only,42653.0,1580.0,0.7544838581108011,0.694180502357642,0.6228870184981127,True
kimi-k2.5__full,42653.0,1580.0,0.7544838581108011,0.7046235481488882,0.6357583288397065,False
